Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
-8.160e-03,0.016
-8.080e-03,0.012
-8.000e-03,0.006
-7.920e-03,0.006
-7.840e-03,0.008
-7.760e-03,0.008
-7.680e-03,0.008
-7.600e-03,0.004
-7.520e-03,0.004
-7.440e-03,-0.002
-7.360e-03,-0.008
-7.280e-03,-0.006
-7.200e-03,-0.006
-7.120e-03,-0.004
-7.040e-03,-0.006
-6.960e-03,-0.01
-6.880e-03,-0.016
-6.800e-03,-0.016
-6.720e-03,-0.014
-6.640e-03,-0.014
-6.560e-03,-0.014
-6.480e-03,-0.018
-6.400e-03,-0.022
-6.320e-03,-0.026
-6.240e-03,-0.024
-6.160e-03,-0.018
-6.080e-03,-0.022
-6.000e-03,-0.03
-5.920e-03,-0.028
-5.840e-03,-0.026
-5.760e-03,-0.028
-5.680e-03,-0.034
-5.600e-03,-0.028
-5.520e-03,-0.028
-5.440e-03,-0.034
-5.360e-03,-0.038
-5.280e-03,-0.032
-5.200e-03,-0.028
-5.120e-03,-0.032
-5.040e-03,-0.038
-4.960e-03,-0.036
-4.880e-03,-0.03
-4.800e-03,-0.03
-4.720e-03,-0.028
-4.640e-03,-0.03
-4.560e-03,-0.032
-4.480e-03,-0.038
-4.400e-03,-0.034
-4.320e-03,-0.03
-4.240e-03,-0.028
-4.160e-03,-0.028
-4.080e-03,-0.028
-4.000e-03,-0.03
-3.920e-03,-0.032
-3.840e-03,-0.022
-3.760e-03,-0.02
-3.680e-03,-0.024
-3.600e-03,-0.022
-3.520e-03,-0.018
-3.440e-03,-0.018
-3.360e-03,-0.022
-3.280e-03,-0.016
-3.200e-03,-0.01
-3.120e-03,-0.012
-3.040e-03,-0.018
-2.960e-03,-0.01
-2.880e-03,-0.004
-2.800e-03,-0.008
-2.720e-03,-0.012
-2.640e-03,-0.006
-2.560e-03,0.002
-2.480e-03,0.004
-2.400e-03,0.006
-2.320e-03,0.006
-2.240e-03,0.006
-2.160e-03,0.004
-2.080e-03,0.008
-2.000e-03,0.012
-1.920e-03,0.02
-1.840e-03,0.02
-1.760e-03,0.02
-1.680e-03,0.022
-1.600e-03,0.02
-1.520e-03,0.018
-1.440e-03,0.022
-1.360e-03,0.028
-1.280e-03,0.03
-1.200e-03,0.034
-1.120e-03,0.036
-1.040e-03,0.038
-9.600e-04,0.038
-8.800e-04,0.04
-8.000e-04,0.04
-7.200e-04,0.04
-6.400e-04,0.04
-5.600e-04,0.038
-4.800e-04,0.034
-4.000e-04,0.038
-3.200e-04,0.044
-2.400e-04,0.05
-1.600e-04,0.04
-8.000e-05,0.038
-1.605e-15,0.042
8.000e-05,0.04
1.600e-04,0.038
2.400e-04,0.042
3.200e-04,0.042
4.000e-04,0.036
4.800e-04,0.042
5.600e-04,0.042
6.400e-04,0.034
7.200e-04,0.036
8.000e-04,0.036
8.800e-04,0.034
9.600e-04,0.032
1.040e-03,0.028
1.120e-03,0.03
1.200e-03,0.03
1.280e-03,0.03
1.360e-03,0.022
1.440e-03,0.022
1.520e-03,0.026
1.600e-03,0.024
1.680e-03,0.02
1.760e-03,0.016
1.840e-03,0.018
1.920e-03,0.018
2.000e-03,0.014
2.080e-03,0.01
2.160e-03,0.006
2.240e-03,0.01
2.320e-03,0.01
2.400e-03,0.004
2.480e-03,-0.004
2.560e-03,0
2.640e-03,0.002
2.720e-03,-0.002
2.800e-03,-0.006
2.880e-03,-0.012
2.960e-03,-0.008
3.040e-03,-0.008
3.120e-03,-0.012
3.200e-03,-0.016
3.280e-03,-0.012
3.360e-03,-0.014
3.440e-03,-0.018
3.520e-03,-0.022
3.600e-03,-0.018
3.680e-03,-0.02
3.760e-03,-0.026
3.840e-03,-0.028
3.920e-03,-0.022
4.000e-03,-0.022
4.080e-03,-0.028
4.160e-03,-0.03
4.240e-03,-0.028
4.320e-03,-0.03
4.400e-03,-0.028
4.480e-03,-0.03
4.560e-03,-0.036
4.640e-03,-0.036
4.720e-03,-0.034
4.800e-03,-0.032
4.880e-03,-0.03
4.960e-03,-0.028
5.040e-03,-0.032
5.120e-03,-0.038
5.200e-03,-0.038
5.280e-03,-0.032
5.360e-03,-0.03
5.440e-03,-0.03
5.520e-03,-0.032
5.600e-03,-0.032
5.680e-03,-0.028
5.760e-03,-0.03
5.840e-03,-0.034
5.920e-03,-0.028
6.000e-03,-0.026
6.080e-03,-0.03
6.160e-03,-0.026
6.240e-03,-0.022
6.320e-03,-0.024
6.400e-03,-0.026
6.480e-03,-0.018
6.560e-03,-0.02
6.640e-03,-0.02
6.720e-03,-0.014
